image_name, central_accuracy, probablistic_stdev, probablistic_count, decision, binary_decision, total_failed_tests 
2
windows/bad18-1_bend.png 58.29 0.67 7 Anomalous: 1 1
windows/bad18-2_bend.png 69.29 0.79 4 Anomalous: 1 2
windows/bad18-3_bend.png 84.48 1.45 11 Anomalous: 1 1
windows/bad_11_300.png 59.5 -0.0 1 Anomalous: 1 2
windows/bad_13_300.png 94.45 1.58 44 Anomalous: 1 1
windows/bad_15_300.png 85.27 0.67 41 Nonanomalous: 0 0
windows/bad_16_300_smallholes.png 96.87 0.3 27 Nonanomalous: 0 0
windows/bad_17_300.png 78.25 0.82 19 Anomalous: 1 1
windows/bad_1_300.png 49.83 -0.0 1 Anomalous: 1 2
windows/bad_2_300.png 70.0 1.05 3 Anomalous: 1 3
windows/bad_3_300.png 79.52 0.75 21 Anomalous: 1 1
windows/bad_4_300.png 93.23 2.39 15 Anomalous: 1 1
windows/bad_5_300.png 49.5 -0.0 1 Anomalous: 1 2
windows/bad_6_300.png 90.72 1.43 3 Anomalous: 1 2
windows/bad_7_300.png 0.0 0 0 Anomalous: 1 3
windows/bad_8_300_bighole.png 87.02 0.51 44 Nonanomalous: 0 0
windows/bad_8_300_bigholeshifted.png 87.88 1.13 4 Anomalous: 1 2
windows/bad_9_300.png 77.83 0.48 2 Anomalous: 1 2
windows/bad_9_300_smallhole.png 98.61 0.82 49 Nonanomalous: 0 0
windows/good_12_300.png 93.03 0.47 29 Nonanomalous: 0 0
windows/good_13_bend.png 68.28 1.57 3 Anomalous: 1 3
windows/good_14_realreal.png 91.99 0.75 15 Nonanomalous: 0 0
windows/good_15_specialHE.png 95.4 0.53 35 Nonanomalous: 0 0
windows/good_1_300.png 98.74 0.56 30 Nonanomalous: 0 0
windows/good_2_300_special.png 0.0 0 0 Anomalous: 1 3
windows/good_3_300_special.png 96.0 0.92 5 Nonanomalous: 0 0
windows/good_4_300.png 97.77 0.55 54 Nonanomalous: 0 0
windows/good_5_300.png 97.63 0.29 37 Nonanomalous: 0 0
windows/good_6_300.png 96.3 0.18 63 Nonanomalous: 0 0
windows/good_7_300.png 97.65 0.69 58 Nonanomalous: 0 0
windows/good_8_300.png 94.05 0.35 32 Nonanomalous: 0 0
windows/good_9_300.png 90.64 0.32 18 Nonanomalous: 0 0
0.8125

3
windows/bad18-1_bend.png 73.61 1.5 6 Anomalous: 1 2
windows/bad18-2_bend.png 69.29 0.79 4 Anomalous: 1 2
windows/bad18-3_bend.png 82.33 0.67 2 Anomalous: 1 1
windows/bad_11_300.png 59.5 -0.0 1 Anomalous: 1 2
windows/bad_13_300.png 91.44 1.4 42 Anomalous: 1 1
windows/bad_15_300.png 79.49 0.44 25 Anomalous: 1 1
windows/bad_16_300_smallholes.png 76.12 0.22 23 Anomalous: 1 1
windows/bad_17_300.png 76.75 0.25 8 Anomalous: 1 1
windows/bad_1_300.png 68.19 0.91 12 Anomalous: 1 1
windows/bad_2_300.png 25.33 -0.0 1 Anomalous: 1 2
windows/bad_3_300.png 69.2 0.29 18 Anomalous: 1 1
windows/bad_4_300.png 71.72 1.13 9 Anomalous: 1 2
windows/bad_5_300.png 0.0 0 0 Anomalous: 1 3
windows/bad_6_300.png 71.73 1.06 19 Anomalous: 1 2
windows/bad_7_300.png 79.63 0.7 18 Anomalous: 1 1
windows/bad_8_300_bighole.png 87.02 0.51 44 Nonanomalous: 0 0
windows/bad_8_300_bigholeshifted.png 66.9 0.45 24 Anomalous: 1 1
windows/bad_9_300.png 0.0 0 0 Anomalous: 1 3
windows/bad_9_300_smallhole.png 98.61 0.82 49 Nonanomalous: 0 0
windows/good_12_300.png 98.8 0.34 33 Nonanomalous: 0 0
windows/good_13_bend.png 0.0 0 0 Anomalous: 1 3
windows/good_14_realreal.png 89.49 0.34 16 Nonanomalous: 0 0
windows/good_15_specialHE.png 92.77 0.55 32 Nonanomalous: 0 0
windows/good_1_300.png 92.07 0.67 25 Nonanomalous: 0 0
windows/good_2_300_special.png 57.33 0.0 1 Anomalous: 1 2
windows/good_3_300_special.png 96.0 0.92 5 Nonanomalous: 0 0
windows/good_4_300.png 89.86 0.46 38 Nonanomalous: 0 0
windows/good_5_300.png 97.63 0.29 37 Nonanomalous: 0 0
windows/good_6_300.png 96.56 0.18 54 Nonanomalous: 0 0
windows/good_7_300.png 90.43 0.55 41 Nonanomalous: 0 0
windows/good_8_300.png 94.05 0.35 32 Nonanomalous: 0 0
windows/good_9_300.png 85.28 0.56 10 Nonanomalous: 0 0
0.875

4
windows/bad18-1_bend.png 73.61 1.5 6 Anomalous: 1 2
windows/bad18-2_bend.png 49.83 -0.0 1 Anomalous: 1 2
windows/bad18-3_bend.png 82.33 0.67 2 Anomalous: 1 1
windows/bad_11_300.png 59.5 -0.0 1 Anomalous: 1 2
windows/bad_13_300.png 91.44 1.4 42 Anomalous: 1 1
windows/bad_15_300.png 79.49 0.44 25 Anomalous: 1 1
windows/bad_16_300_smallholes.png 76.12 0.22 23 Anomalous: 1 1
windows/bad_17_300.png 76.75 0.25 8 Anomalous: 1 1
windows/bad_1_300.png 68.19 0.91 12 Anomalous: 1 1
windows/bad_2_300.png 25.33 -0.0 1 Anomalous: 1 2
windows/bad_3_300.png 69.2 0.29 18 Anomalous: 1 1
windows/bad_4_300.png 71.72 1.13 9 Anomalous: 1 2
windows/bad_5_300.png 0.0 0 0 Anomalous: 1 3
windows/bad_6_300.png 71.73 1.06 19 Anomalous: 1 2
windows/bad_7_300.png 79.63 0.7 18 Anomalous: 1 1
windows/bad_8_300_bighole.png 84.92 0.21 45 Nonanomalous: 0 0
windows/bad_8_300_bigholeshifted.png 76.59 0.28 44 Anomalous: 1 1
windows/bad_9_300.png 0.0 0 0 Anomalous: 1 3
windows/bad_9_300_smallhole.png 92.73 0.58 25 Nonanomalous: 0 0
windows/good_12_300.png 98.8 0.34 33 Nonanomalous: 0 0
windows/good_13_bend.png 0.0 0 0 Anomalous: 1 3
windows/good_14_realreal.png 89.49 0.34 16 Nonanomalous: 0 0
windows/good_15_specialHE.png 92.77 0.55 32 Nonanomalous: 0 0
windows/good_1_300.png 92.07 0.67 25 Nonanomalous: 0 0
windows/good_2_300_special.png 57.33 0.0 1 Anomalous: 1 2
windows/good_3_300_special.png 0.0 0 0 Anomalous: 1 3
windows/good_4_300.png 89.86 0.46 38 Nonanomalous: 0 0
windows/good_5_300.png 94.45 0.4 33 Nonanomalous: 0 0
windows/good_6_300.png 96.56 0.18 54 Nonanomalous: 0 0
windows/good_7_300.png 90.43 0.55 41 Nonanomalous: 0 0
windows/good_8_300.png 87.15 0.28 28 Nonanomalous: 0 0
windows/good_9_300.png 85.28 0.56 10 Nonanomalous: 0 0
0.84375
